date,value
2009-03-14,96.97369
2009-03-15,96.97369
2009-03-16,96.97369
2009-03-17,96.97369
2009-03-18,96.97369
2009-03-19,96.97369
2009-03-20,96.97369
2009-03-21,96.97369
2009-03-22,96.97369
2009-03-23,96.97369
2009-03-24,96.97369
2009-03-25,96.97369
2009-03-26,96.97369
2009-03-27,96.97369
2009-03-28,96.97369
2009-03-29,96.97369
2009-03-30,96.97369
2009-03-31,96.97369
2009-04-01,97.20951
2009-04-02,97.20951
2009-04-03,97.20951
2009-04-04,97.20951
2009-04-05,97.20951
2009-04-06,97.20951
2009-04-07,97.20951
2009-04-08,97.20951
2009-04-09,97.20951
2009-04-10,97.20951
2009-04-11,97.20951
2009-04-12,97.20951
2009-04-13,97.20951
2009-04-14,97.20951
2009-04-15,97.20951
2009-04-16,97.20951
2009-04-17,97.20951
2009-04-18,97.20951
2009-04-19,97.20951
2009-04-20,97.20951
2009-04-21,97.20951
2009-04-22,97.20951
2009-04-23,97.20951
2009-04-24,97.20951
2009-04-25,97.20951
2009-04-26,97.20951
2009-04-27,97.20951
2009-04-28,97.20951
2009-04-29,97.20951
2009-04-30,97.20951
2009-05-01,97.45218
2009-05-02,97.45218
2009-05-03,97.45218
2009-05-04,97.45218
2009-05-05,97.45218
2009-05-06,97.45218
2009-05-07,97.45218
2009-05-08,97.45218
2009-05-09,97.45218
2009-05-10,97.45218
2009-05-11,97.45218
2009-05-12,97.45218
2009-05-13,97.45218
2009-05-14,97.45218
2009-05-15,97.45218
2009-05-16,97.45218
2009-05-17,97.45218
2009-05-18,97.45218
2009-05-19,97.45218
2009-05-20,97.45218
2009-05-21,97.45218
2009-05-22,97.45218
2009-05-23,97.45218
2009-05-24,97.45218
2009-05-25,97.45218
2009-05-26,97.45218
2009-05-27,97.45218
2009-05-28,97.45218
2009-05-29,97.45218
2009-05-30,97.45218
2009-05-31,97.45218
2009-06-01,97.7337
2009-06-02,97.7337
2009-06-03,97.7337
2009-06-04,97.7337
2009-06-05,97.7337
2009-06-06,97.7337
2009-06-07,97.7337
2009-06-08,97.7337
2009-06-09,97.7337
2009-06-10,97.7337
2009-06-11,97.7337
2009-06-12,97.7337
2009-06-13,97.7337
2009-06-14,97.7337
2009-06-15,97.7337
2009-06-16,97.7337
2009-06-17,97.7337
2009-06-18,97.7337
2009-06-19,97.7337
2009-06-20,97.7337
2009-06-21,97.7337
2009-06-22,97.7337
2009-06-23,97.7337
2009-06-24,97.7337
2009-06-25,97.7337
2009-06-26,97.7337
2009-06-27,97.7337
2009-06-28,97.7337
2009-06-29,97.7337
2009-06-30,97.7337
2009-07-01,98.57322
2009-07-02,98.57322
2009-07-03,98.57322
2009-07-04,98.57322
2009-07-05,98.57322
2009-07-06,98.57322
2009-07-07,98.57322
2009-07-08,98.57322
2009-07-09,98.57322
2009-07-10,98.57322
2009-07-11,98.57322
2009-07-12,98.57322
2009-07-13,98.57322
2009-07-14,98.57322
2009-07-15,98.57322
2009-07-16,98.57322
2009-07-17,98.57322
2009-07-18,98.57322
2009-07-19,98.57322
2009-07-20,98.57322
2009-07-21,98.57322
2009-07-22,98.57322
2009-07-23,98.57322
2009-07-24,98.57322
2009-07-25,98.57322
2009-07-26,98.57322
2009-07-27,98.57322
2009-07-28,98.57322
2009-07-29,98.57322
2009-07-30,98.57322
2009-07-31,98.57322
2009-08-01,98.41692
2009-08-02,98.41692
2009-08-03,98.41692
2009-08-04,98.41692
2009-08-05,98.41692
2009-08-06,98.41692
2009-08-07,98.41692
2009-08-08,98.41692
2009-08-09,98.41692
2009-08-10,98.41692
2009-08-11,98.41692
2009-08-12,98.41692
2009-08-13,98.41692
2009-08-14,98.41692
2009-08-15,98.41692
2009-08-16,98.41692
2009-08-17,98.41692
2009-08-18,98.41692
2009-08-19,98.41692
2009-08-20,98.41692
2009-08-21,98.41692
2009-08-22,98.41692
2009-08-23,98.41692
2009-08-24,98.41692
2009-08-25,98.41692
2009-08-26,98.41692
2009-08-27,98.41692
2009-08-28,98.41692
2009-08-29,98.41692
2009-08-30,98.41692
2009-08-31,98.41692
2009-09-01,98.63766
2009-09-02,98.63766
2009-09-03,98.63766
2009-09-04,98.63766
2009-09-05,98.63766
2009-09-06,98.63766
2009-09-07,98.63766
2009-09-08,98.63766
2009-09-09,98.63766
2009-09-10,98.63766
2009-09-11,98.63766
2009-09-12,98.63766
2009-09-13,98.63766
2009-09-14,98.63766
2009-09-15,98.63766
2009-09-16,98.63766
2009-09-17,98.63766
2009-09-18,98.63766
2009-09-19,98.63766
2009-09-20,98.63766
2009-09-21,98.63766
2009-09-22,98.63766
2009-09-23,98.63766
2009-09-24,98.63766
2009-09-25,98.63766
2009-09-26,98.63766
2009-09-27,98.63766
2009-09-28,98.63766
2009-09-29,98.63766
2009-09-30,98.63766
2009-10-01,98.69936
2009-10-02,98.69936
2009-10-03,98.69936
2009-10-04,98.69936
2009-10-05,98.69936
2009-10-06,98.69936
2009-10-07,98.69936
2009-10-08,98.69936
2009-10-09,98.69936
2009-10-10,98.69936
2009-10-11,98.69936
2009-10-12,98.69936
2009-10-13,98.69936
2009-10-14,98.69936
2009-10-15,98.69936
2009-10-16,98.69936
2009-10-17,98.69936
2009-10-18,98.69936
2009-10-19,98.69936
2009-10-20,98.69936
2009-10-21,98.69936
2009-10-22,98.69936
2009-10-23,98.69936
2009-10-24,98.69936
2009-10-25,98.69936
2009-10-26,98.69936
2009-10-27,98.69936
2009-10-28,98.69936
2009-10-29,98.69936
2009-10-30,98.69936
2009-10-31,98.69936
2009-11-01,98.79442
2009-11-02,98.79442
2009-11-03,98.79442
2009-11-04,98.79442
2009-11-05,98.79442
2009-11-06,98.79442
2009-11-07,98.79442
2009-11-08,98.79442
2009-11-09,98.79442
2009-11-10,98.79442
2009-11-11,98.79442
2009-11-12,98.79442
2009-11-13,98.79442
2009-11-14,98.79442
2009-11-15,98.79442
2009-11-16,98.79442
2009-11-17,98.79442
2009-11-18,98.79442
2009-11-19,98.79442
2009-11-20,98.79442
2009-11-21,98.79442
2009-11-22,98.79442
2009-11-23,98.79442
2009-11-24,98.79442
2009-11-25,98.79442
2009-11-26,98.79442
2009-11-27,98.79442
2009-11-28,98.79442
2009-11-29,98.79442
2009-11-30,98.79442
2009-12-01,98.86433
2009-12-02,98.86433
2009-12-03,98.86433
2009-12-04,98.86433
2009-12-05,98.86433
2009-12-06,98.86433
2009-12-07,98.86433
2009-12-08,98.86433
2009-12-09,98.86433
2009-12-10,98.86433
2009-12-11,98.86433
2009-12-12,98.86433
2009-12-13,98.86433
2009-12-14,98.86433
2009-12-15,98.86433
2009-12-16,98.86433
2009-12-17,98.86433
2009-12-18,98.86433
2009-12-19,98.86433
2009-12-20,98.86433
2009-12-21,98.86433
2009-12-22,98.86433
2009-12-23,98.86433
2009-12-24,98.86433
2009-12-25,98.86433
2009-12-26,98.86433
2009-12-27,98.86433
2009-12-28,98.86433
2009-12-29,98.86433
2009-12-30,98.86433
2009-12-31,98.86433
2010-01-01,98.69022
2010-01-02,98.69022
2010-01-03,98.69022
2010-01-04,98.69022
2010-01-05,98.69022
2010-01-06,98.69022
2010-01-07,98.69022
2010-01-08,98.69022
2010-01-09,98.69022
2010-01-10,98.69022
2010-01-11,98.69022
2010-01-12,98.69022
2010-01-13,98.69022
2010-01-14,98.69022
2010-01-15,98.69022
2010-01-16,98.69022
2010-01-17,98.69022
2010-01-18,98.69022
2010-01-19,98.69022
2010-01-20,98.69022
2010-01-21,98.69022
2010-01-22,98.69022
2010-01-23,98.69022
2010-01-24,98.69022
2010-01-25,98.69022
2010-01-26,98.69022
2010-01-27,98.69022
2010-01-28,98.69022
2010-01-29,98.69022
2010-01-30,98.69022
2010-01-31,98.69022
2010-02-01,99.02749
2010-02-02,99.02749
2010-02-03,99.02749
2010-02-04,99.02749
2010-02-05,99.02749
2010-02-06,99.02749
2010-02-07,99.02749
2010-02-08,99.02749
2010-02-09,99.02749
2010-02-10,99.02749
2010-02-11,99.02749
2010-02-12,99.02749
2010-02-13,99.02749
2010-02-14,99.02749
2010-02-15,99.02749
2010-02-16,99.02749
2010-02-17,99.02749
2010-02-18,99.02749
2010-02-19,99.02749
2010-02-20,99.02749
2010-02-21,99.02749
2010-02-22,99.02749
2010-02-23,99.02749
2010-02-24,99.02749
2010-02-25,99.02749
2010-02-26,99.02749
2010-02-27,99.02749
2010-02-28,99.02749
2010-03-01,99.05217
2010-03-02,99.05217
2010-03-03,99.05217
2010-03-04,99.05217
2010-03-05,99.05217
2010-03-06,99.05217
2010-03-07,99.05217
2010-03-08,99.05217
2010-03-09,99.05217
2010-03-10,99.05217
2010-03-11,99.05217
2010-03-12,99.05217
2010-03-13,99.05217
2010-03-14,99.05217
2010-03-15,99.05217
2010-03-16,99.05217
2010-03-17,99.05217
2010-03-18,99.05217
2010-03-19,99.05217
2010-03-20,99.05217
2010-03-21,99.05217
2010-03-22,99.05217
2010-03-23,99.05217
2010-03-24,99.05217
2010-03-25,99.05217
2010-03-26,99.05217
2010-03-27,99.05217
2010-03-28,99.05217
2010-03-29,99.05217
2010-03-30,99.05217
2010-03-31,99.05217
2010-04-01,99.45891
2010-04-02,99.45891
2010-04-03,99.45891
2010-04-04,99.45891
2010-04-05,99.45891
2010-04-06,99.45891
2010-04-07,99.45891
2010-04-08,99.45891
2010-04-09,99.45891
2010-04-10,99.45891
2010-04-11,99.45891
2010-04-12,99.45891
2010-04-13,99.45891
2010-04-14,99.45891
2010-04-15,99.45891
2010-04-16,99.45891
2010-04-17,99.45891
2010-04-18,99.45891
2010-04-19,99.45891
2010-04-20,99.45891
2010-04-21,99.45891
2010-04-22,99.45891
2010-04-23,99.45891
2010-04-24,99.45891
2010-04-25,99.45891
2010-04-26,99.45891
2010-04-27,99.45891
2010-04-28,99.45891
2010-04-29,99.45891
2010-04-30,99.45891
2010-05-01,99.63166
2010-05-02,99.63166
2010-05-03,99.63166
2010-05-04,99.63166
2010-05-05,99.63166
2010-05-06,99.63166
2010-05-07,99.63166
2010-05-08,99.63166
2010-05-09,99.63166
2010-05-10,99.63166
2010-05-11,99.63166
2010-05-12,99.63166
2010-05-13,99.63166
2010-05-14,99.63166
2010-05-15,99.63166
2010-05-16,99.63166
2010-05-17,99.63166
2010-05-18,99.63166
2010-05-19,99.63166
2010-05-20,99.63166
2010-05-21,99.63166
2010-05-22,99.63166
2010-05-23,99.63166
2010-05-24,99.63166
2010-05-25,99.63166
2010-05-26,99.63166
2010-05-27,99.63166
2010-05-28,99.63166
2010-05-29,99.63166
2010-05-30,99.63166
2010-05-31,99.63166
2010-06-01,99.70888
2010-06-02,99.70888
2010-06-03,99.70888
2010-06-04,99.70888
2010-06-05,99.70888
2010-06-06,99.70888
2010-06-07,99.70888
2010-06-08,99.70888
2010-06-09,99.70888
2010-06-10,99.70888
2010-06-11,99.70888
2010-06-12,99.70888
2010-06-13,99.70888
2010-06-14,99.70888
2010-06-15,99.70888
2010-06-16,99.70888
2010-06-17,99.70888
2010-06-18,99.70888
2010-06-19,99.70888
2010-06-20,99.70888
2010-06-21,99.70888
